"Code","LIB","mono","enf","Dipl","voit"
"01001","L'Abergement-Clémenciat",6.4,6,4.7,95.3
"01002","L'Abergement-de-Varey",6.7,7,4,97.1
"01004","Ambérieu-en-Bugey",18,11.7,6,85
"01005","Ambérieux-en-Dombes",6.6,7.5,5.5,96.6
"01006","Ambléon",14.3,0,4.2,94.3
"01007","Ambronay",13.5,9.2,4.4,95
"01008","Ambutrix",11.4,4.5,4.2,98.1
"01009","Andert-et-Condon",15,4.9,7.3,95.8
"01010","Anglefort",12.3,11.7,5.8,94.7
"01011","Apremont",0,12.4,3.7,97.9
"01012","Aranc",11.1,11.2,5.3,94.6
"01013","Arandas",0,11.1,6.5,95.2
"01014","Arbent",11,10.2,5,92.8
"01015","Arboys en Bugey",7.3,7.2,4.7,92.8
"01016","Arbigny",3.4,10.3,6.3,94.5
"01017","Argis",12.2,8.9,5.6,91.8
"01019","Armix",0,0,4.3,100
"01021","Ars-sur-Formans",8.8,11,4.9,95.6
"01022","Artemare",12.1,8.3,7.1,86.9
"01023","Asnières-sur-Saône",0,0,5.4,97.1
"01024","Attignat",10,10.1,4.6,94.9
"01025","Bâgé-Dommartin",8.1,10.5,4.4,96.9
"01026","Bâgé-le-Châtel",12.5,10.7,4.1,91.8
"01027","Balan",10.5,10.6,8.9,98.1
"01028","Baneins",2.6,15.8,3.5,98
"01029","Beaupont",16.6,8.2,6.1,97.7
"01030","Beauregard",14.6,8.3,5.8,93.2
"01031","Bellignat",13,11.6,4.6,85
"01032","Béligneux",13.2,14.7,6.8,96
"01033","Valserhône",14.8,10.4,5.8,86.2
"01034","Belley",17.5,10.7,6.6,82.1
"01035","Belleydoux",0,5.3,5,95.9
"01036","Valromey-sur-Séran",11.8,2.4,4.9,97.2
"01037","Bénonces",0,13.7,9.4,94.3
"01038","Bény",8.7,7.8,3.7,96.7
"01039","Béon",3.8,11.1,7.2,95.4
"01040","Béréziat",7.1,7.1,4,96.8
"01041","Bettant",14.3,4,6.3,92.7
"01042","Bey",11.7,11.8,4,99.1
"01043","Beynost",13.1,8.3,5.5,94
"01044","Billiat",10,2.4,6.9,93.5
"01045","Birieux",11.7,5.8,2.1,97
"01046","Biziat",3.9,11.4,4,94.9
"01047","Blyes",13,9.1,2.9,96.9
"01049","La Boisse",9.2,11.8,4.5,95.1
"01050","Boissey",17.4,13,3.5,95
"01051","Bolozon",0,0,5.2,93.3
"01052","Bouligneux",18.2,9.1,6.3,97
"01053","Bourg-en-Bresse",21.8,11.7,6.2,77.8
"01054","Bourg-Saint-Christophe",9.2,5.7,4.2,96.4
"01056","Boyeux-Saint-Jérôme",5.3,10.6,2.4,96
"01057","Boz",10.7,7.1,5.1,96.2
"01058","Brégnier-Cordon",8.2,10.2,6.2,95.6
"01060","Brénod",9.6,8.8,6.1,87.7
"01061","Brens",5.6,4.2,4.8,97.8
"01062","Bressolles",10.1,5,4.4,98.3
"01063","Brion",23.3,2.5,8,96
"01064","Briord",9.2,3.1,8.3,96.6
"01065","Buellas",12.1,6,3.8,96.7
"01066","La Burbanche",20,0,12.3,95.1
"01067","Ceignes",0,6.2,5.2,98.1
"01068","Cerdon",11.6,9.3,4.3,94
"01069","Certines",12.1,5.1,3.9,96.8
"01071","Cessy",16.6,7.6,4,96.7
"01072","Ceyzériat",13.2,10.4,5.9,95
"01073","Ceyzérieu",11.2,7.6,4.5,95.3
"01074","Chalamont",10,12.2,5.9,89.8
"01075","Chaleins",13.8,9.2,4.4,96.9
"01076","Chaley",0,0,7.1,89.7
"01077","Challes-la-Montagne",10,10,4.1,89.5
"01078","Challex",4.4,5.6,3.4,97.5
"01079","Champagne-en-Valromey",20.5,12.8,4.5,89.9
"01080","Champdor-Corcelles",5.4,9.9,4.9,92.8
"01081","Champfromier",20.9,11.6,5,89.9
"01082","Chanay",24.9,9.6,3.8,95.3
"01083","Chaneins",5.6,8.6,5.8,95.7
"01084","Chanoz-Châtenay",7.3,9.1,3.7,97.7
"01085","La Chapelle-du-Châtelard",4.3,8.7,4.6,98.7
"01087","Charix",18.9,12.1,6.3,95.8
"01088","Charnoz-sur-Ain",10.5,6.4,7.3,98.8
"01089","Château-Gaillard",9.6,9.6,5.6,95.8
"01090","Châtenay",9.5,9.5,4.2,96.1
"01092","Châtillon-la-Palud",17.9,7.4,4.3,97
"01093","Châtillon-sur-Chalaronne",18.2,8.7,5,86.3
"01094","Chavannes-sur-Reyssouze",12.6,8.2,8.3,91.4
"01095","Nivigne et Suran",9.1,16.1,4.2,94.6
"01096","Chaveyriat",14.5,9.6,4.8,96.7
"01098","Chazey-Bons",8.8,10.4,6.1,96.2
"01099","Chazey-sur-Ain",17.9,10.5,3.7,94.2
"01100","Cheignieu-la-Balme",16.7,0,5.5,91.9
"01101","Chevillard",0,0,0.8,97.1
"01102","Chevroux",5.1,9.9,3.4,96.4
"01103","Chevry",8.7,7.1,3,97.9
"01104","Chézery-Forens",15,7.1,3.9,94.3
"01105","Civrieux",6.2,8.8,2.9,98.3
"01106","Cize",10,10,5.2,96.3
"01107","Cleyzieu",14.3,0,4.8,96.8
"01108","Coligny",7.9,5.8,5.2,90.7
"01109","Collonges",14.5,9.7,3.9,95.9
"01110","Colomieu",25,12.5,5.7,94.4
"01111","Conand",12.5,12.5,5.1,94.8
"01112","Condamine",14.3,3.6,5.7,95
"01113","Condeissiat",4.2,12.5,3.7,95.3
"01114","Confort",2.9,9.8,4.2,97.1
"01115","Confrançon",12.9,11.1,4.5,95
"01116","Contrevoz",26.7,10,5.3,95.2
"01117","Conzieu",0,22.2,5.9,94.8
"01118","Corbonod",15,8.8,2.8,94.7
"01121","Corlier",16.7,16.7,4.5,97.9
"01123","Cormoranche-sur-Saône",8.9,9.9,3.9,96
"01124","Cormoz",14,4.7,3.9,95.9
"01125","Corveissiat",8.6,8.6,4.4,96.7
"01127","Courmangoux",13.4,3.3,5.2,94.2
"01128","Courtes",10.5,10.5,6.7,94.8
"01129","Crans",5.3,5.3,5.5,93.5
