"IRIS","DISP_TP6019"
10040101,"20.5"
10040102,26
10040201,"18.7"
10040202,9
10330102,"21.3"
10330103,"15.8"
10330201,"14.8"
10330202,"22.8"
10330301,"17.3"
10330401,"6.8"
10530101,"20.1"
10530102,"16.3"
10530103,"19.3"
10530201,16
10530202,"29.8"
10530203,"17.5"
10530301,"10.9"
10530302,"21.8"
10530401,"20.8"
10530402,"8.9"
10530501,17910
10530502,"19.6"
10530503,"39.9"
10530601,"34.4"
10530602,"41.7"
10530603,"42.6"
10530604,16080
10530701,"14.7"
11730101,"14.2"
11730102,"10.5"
11730103,"9.4"
12830102,"35.9"
12830103,"37.8"
12830104,"41.6"
12830201,"19.3"
12830202,"25.6"
12830203,"32.3"
12830301,"23.5"
12830303,"26.4"
12830304,"19.5"
12830305,21060
13540101,"15.2"
13540102,"22.5"
13540103,"25.8"
21680101,"26.2"
21680201,"16.4"
21680401,"18.9"
21680501,10330
21680601,16770
21680701,13190
21730101,"36.2"
21730201,"24.8"
21730301,"17.9"
24080101,"49.4"
24080102,"64.8"
24080201,25
24080301,"22.9"
24080401,14920
24080402,"29.5"
24080501,"27.8"
24080601,"21.4"
24080801,"29.7"
24080901,17990
26910101,"19.7"
26910102,"20.2"
26910103,29
26910104,"26.6"
26910201,"21.8"
26910202,"16.1"
26910203,20
26910204,"52.2"
26910205,"59.3"
26910206,"47.7"
26910207,"35.3"
26910208,16
26910209,"19.2"
26910301,"31.7"
26910302,"20.1"
26910303,"34.9"
26910304,"29.2"
26910401,"24.6"
26910402,"26.2"
26910403,"20.8"
26910501,"26.4"
26910502,"23.4"
26910503,10380
26910504,"17.9"
26910601,"25.1"
27220101,"46.3"
27220102,"59.5"
27220103,"49.2"
27220201,"27.1"
27220301,18920
27220401,"34.9"
27220501,"10.1"
27220502,24
27220503,"20.9"
27220601,10830
27220701,"17.3"
27220801,28
27220901,"15.6"
27380101,"20.2"
27380102,"30.1"
27380201,"22.1"
27380301,"19.4"
27380302,"35.5"
27380401,"19.7"
28100102,"16.8"
28100202,"14.4"
28100302,"8.6"
28100401,"30.2"
30950101,"27.2"
30950102,14640
30950103,"24.8"
30950105,"14.1"
30950106,18660
30950111,"13.3"
31850101,"23.8"
31850102,"20.9"
31850103,19
