"","code_commune_ref","reconstitution_code_commune","id_brut_bv_reu","id","geo_adresse","geo_type","geo_score","longitude","latitude","api_line","nb_bv_commune","nb_adresses"
"12182866","75113",1,"75113_1","75113_4755_00001","1 Place d'Italie 75013 Paris","housenumber",0.97,2.355313,48.832314,"BANG",71,17
"12182867","75113",1,"75113_1","75113_6763_00001","1 Rue Nicolas Roret 75013 Paris","housenumber",0.97,2.353453,48.83617,"BANG",71,3
"12182868","75113",1,"75113_1","75113_5433_00010","10 Rue Le Brun 75013 Paris","housenumber",0.98,2.354906,48.836847,"BANG",71,5
"12182869","75113",1,"75113_1","75113_8115_00011","11 Rue de la Reine Blanche 75013 Paris","housenumber",0.97,2.354296,48.836754,"BANG",71,6
"12182870","75113",1,"75113_1","75113_5433_00011","11 Rue Le Brun 75013 Paris","housenumber",0.98,2.355148,48.836889,"BANG",71,2
"12182871","75113",1,"75113_1","75113_8115_00013","13 Rue de la Reine Blanche 75013 Paris","housenumber",0.97,2.354226,48.836713,"BANG",71,8
"12182872","75113",1,"75113_1","75113_5433_00013","13 Rue Le Brun 75013 Paris","housenumber",0.98,2.355101,48.83674,"BANG",71,3
"12182873","75113",1,"75113_1","75113_5433_00014","14 Rue Le Brun 75013 Paris","housenumber",0.98,2.354854,48.836681,"BANG",71,7
"12182874","75113",1,"75113_1","75113_5433_00015","15 Rue Le Brun 75013 Paris","housenumber",0.98,2.355049,48.836574,"BANG",71,4
"12182875","75113",1,"75113_1","75113_8115_00017","17 Rue de la Reine Blanche 75013 Paris","housenumber",0.97,2.353916,48.836534,"BANG",71,10
"12182876","75113",1,"75113_1","75113_5433_00017","17 Rue Le Brun 75013 Paris","housenumber",0.98,2.355019,48.836479,"BANG",71,1
"12182877","75113",1,"75113_1","75113_8115_00019","19 Rue de la Reine Blanche 75013 Paris","housenumber",0.97,2.353748,48.836437,"BANG",71,10
"12182878","75113",1,"75113_1","75113_5433_00019","19 Rue Le Brun 75013 Paris","housenumber",0.98,2.354983,48.836362,"BANG",71,12
"12182879","75113",1,"75113_1","75113_6763_00002","2 Rue Nicolas Roret 75013 Paris","housenumber",0.97,2.353342,48.836064,"BANG",71,9
"12182880","75113",1,"75113_1","75113_5433_00020","20 Rue Le Brun 75013 Paris","housenumber",0.98,2.354781,48.836444,"BANG",71,7
"12182881","75113",1,"75113_1","75113_8115_00021","21 Rue de la Reine Blanche 75013 Paris","housenumber",0.97,2.353636,48.836372,"BANG",71,1
"12182882","75113",2,"75113_1","75113_8115_00021_b","21b Rue de la Reine Blanche 75013 Paris","housenumber",0.89,2.353553,48.836324,"BANG",71,2
"12182883","75113",1,"75113_1","75113_5433_00022","22 Rue Le Brun 75013 Paris","housenumber",0.98,2.354734,48.836293,"BANG",71,3
"12182884","75113",1,"75113_1","75113_8115_00024","24 Rue de la Reine Blanche 75013 Paris","housenumber",0.97,2.353382,48.836365,"BANG",71,4
"12182885","75113",1,"75113_1","75113_5433_00024","24 Rue Le Brun 75013 Paris","housenumber",0.98,2.354655,48.836095,"BANG",71,3
"12182886","75113",1,"75113_1","75113_4209_00025","25 Avenue des Gobelins 75013 Paris","housenumber",0.98,2.352298,48.836616,"BANG",71,5
"12182887","75113",1,"75113_1","75113_8115_00025","25 Rue de la Reine Blanche 75013 Paris","housenumber",0.97,2.353167,48.836101,"BANG",71,2
"12182888","75113",1,"75113_1","75113_8115_00026","26 Rue de la Reine Blanche 75013 Paris","housenumber",0.97,2.35326,48.836295,"BANG",71,2
"12182889","75113",1,"75113_1","75113_5433_00026","26 Rue Le Brun 75013 Paris","housenumber",0.98,2.354517,48.835925,"BANG",71,5
