Num cours,date,thème,outil,exercice (nb pts)
1,15/09/25,statistique univariée : base,tableur,1
2,22/09/25,statistique univariée : indicateurs,,2
3,29/09/25,bivariée : base + régression début,,2
4,06/10/25,régression fin + khi début (tableau de contingence),,2
5,13/10/25,khi2,,2
6,20/10/25,initiation R ,R,
,27/10/25,CONGES,,
7,03/11/25,initiation R / boite à moustaches,,1
8,10/11/25,initiation R / variance + sujet DM,,
9,17/11/25,multivariée : constitution de la base,,
10,24/11/25,multivariée : régression  multiple – analyse factorielle et classification (1),,
11,01/12/25,multivariée : analyse factorielle et classification (2),,
12,08/12/25,questions autour du devoir maison. Devoir à rendre le 12 au plus tard.,,
13,15/12/25,"Révisions = probable absence le 15, donc test à effectuer pendant le cours",,
14,15/01/26,partiel : groupe 1 9 – 10 h 30  / groupe 2 11  - 12 h 30 / groupe 3 + tiers temps 13 – 14 h 30 (15 h pour les tiers temps),,
