num cours,date,cours,sujet,CM,exercice,données
1,02-févr,1,introduction et inscription sur Arcgis Online,"Définition géomatique, SIG, shéma de géotraitement, cheat sheet pour package R sf pour distinguer les manipulations spatiales",inscription sur Arcgis Online et dans le groupe,choix d'une ville (code INSEE) pour attribution bureaux de vote
2,09-févr,2,"prise en main du logiciel Arcgis Online
",Structure d’une base de données SIG (notion de couches) et fonctionnement général d’un SIG,"ouvrir des données et les organiser dans ArcGis Online, savoir reconnaitre leur type (vecteur
ou raster). En modifier l’apparence, mettre en forme et enregistrer une carte",bureaux de vote par commune
3,16-févr,3,sélectionner des entités,"définition et structuration d’une base de données dans un SIG, structure d’une table, découverte
des relations spatiales d’inclusion, d’intersection et de distance","sur le logiciel, réaliser différentes opérations de sélections attributaires et spatiales",bureaux de vote par département et zonage par iris
4,01-mars,4,ajout de données dans une table et découverte du module de cartographie,bon à savoir pour cartographier des données sans faire de grossières bêtises,"ajouter des données dans une table attributaire, calcul sur champs, cartographie statistique",bureaux de vote par commune avec résultat élections
5,08-mars,5,agrégation de points (jointure spatiale),"ce qu’il convient de savoir en tant de débutant sur la gestion d’une base de données dans un SIG
pour réaliser une jointure spatiale + cartographie des données créées",QCM + réalisation d’une agrégation de points et cartographie des données créées,valeur foncière (centroide des parcelles) et zonage bureaux de vote
6,15-mars,6,jointure attributaire,"ce qu’il convient de savoir en tant de débutant sur la gestion d’une base de données dans un SIG
pour réaliser une jointure attributaire + cartographie des données créées",réalisation d’une jointure attributaire et cartographie des données créées + DM sur temps libre à envoyer sous forme d’une carte,bureaux de vote par commune et résultats élections
7,22-mars,7,Projection et géoréférencement,rappel sur les systèmes de projection et le géoréférencement,"projeter des données ponctuelles et les manipuler (sélections, agrégation, carto...)",
8,29-mars,8,découverte d’outils de géotraitement,les principes de base de l’analyse spatiale,réalisation de zones tampons et de cartes de densités locales,
9,05-avr,9,Map Story + lancement du projet de fin de semestre,comment faire une map story + lancement du projet de fin de semestre,réalisation d’une map story,
10,26-avr,10,"projet de fin de semestre (problématique, téléchargement et organisation des données)", les sources des données,réalisation du schéma cartographique de la base de données à créer en lien avec le projet,
11,03-mai,11,QCM + projet de fin de semestre (mise en forme des données et premières analyses),,,
12,10-mai,12,travail sur le projet de fin de semestre (analyses et cartographie des résultats),,,
13,17-mai,13,cours de révision avant partiel,,,
