LIBCOM,nb,zone,Code
Achères,4074,IDF_DEP_78,78005
Agen,4475,reg75,47001
Aix-en-Provence,12459,reg93,13001
Aix-les-Bains,2623,reg84,73008
Ajaccio,4389,reg94,2A004
Albertville,2756,reg84,73011
Albi,4083,reg76,81004
Alençon,5332,reg28,61001
Alfortville,8363,IDF_DEP_94,94002
Allonnes,2426,reg52,72003
Amiens,10373,reg32,80021
Angers,26725,reg52,49007
Anglet,2712,reg75,64024
Annecy,11901,reg84,74010
Annemasse,4138,reg84,74012
Annonay,2435,reg84,07010
Antony,5676,IDF_DEP_92,92002
Arcueil,4367,IDF_DEP_94,94003
Argentan,3133,reg28,61006
Argenteuil,14168,IDF_DEP_95,95018
Arles,5734,reg93,13004
Armentières,2996,reg32,59017
Asnières-sur-Seine,8905,IDF_DEP_92,92004
Athis-Mons,4189,IDF_DEP_91,91027
Aubagne,5269,reg93,13005
Aubervilliers,12389,IDF_DEP_93,93001
Auch,2134,reg76,32013
Aulnay-sous-Bois,9705,IDF_DEP_93,93005
Aurillac,3185,reg84,15014
Avignon,13990,reg93,84007
Bagneux,10732,IDF_DEP_92,92007
Bagnolet,6843,IDF_DEP_93,93006
Barentin,2221,reg28,76057
Bastia,5141,reg94,2B033
Bayeux,2349,reg28,14047
Bayonne,6274,reg75,64102
Beaune,2520,reg27,21054
Beauvais,10058,reg32,60057
Bègles,3753,reg75,33039
Belfort,9141,reg27,90010
Bezons,4779,IDF_DEP_95,95063
Blois,8502,reg24,41018
Bobigny,10165,IDF_DEP_93,93008
Bois-Colombes,2290,IDF_DEP_92,92009
Boissy-Saint-Léger,2249,IDF_DEP_94,94004
Bondy,9390,IDF_DEP_93,93010
Bonneuil-sur-Marne,4234,IDF_DEP_94,94011
Bordeaux,21300,reg75,33063
Boulogne-Billancourt,8656,IDF_DEP_92,92012
Boulogne-sur-Mer,7234,reg32,62160
Bourges,9911,reg24,18033
Brest,15526,reg53,29019
Brétigny-sur-Orge,3250,IDF_DEP_91,91103
Brive-la-Gaillarde,3744,reg75,19031
Bron,4630,reg84,69029
Cachan,4887,IDF_DEP_94,94016
Caen,15558,reg28,14118
Caluire-et-Cuire,3625,reg84,69034
Cambrai,2972,reg32,59122
Cannes,6324,reg93,06029
Canteleu,4027,reg28,76157
Carcassonne,4743,reg76,11069
Carpentras,2205,reg93,84031
Carrières-sous-Poissy,2292,IDF_DEP_78,78123
Castres,3223,reg76,81065
Cavaillon,2466,reg93,84035
Cenon,4236,reg75,33119
Cergy,11208,IDF_DEP_95,95127
Châlette-sur-Loing,2118,reg24,45068
Châlons-en-Champagne,9668,reg44,51108
Chambéry,7877,reg84,73065
Champigny-sur-Marne,12283,IDF_DEP_94,94017
Champs-sur-Marne,3815,IDF_DEP_77,77083
Charenton-le-Pont,3907,IDF_DEP_94,94018
Charleville-Mézières,10045,reg44,08105
Chartres,6213,reg24,28085
Château-Thierry,2596,reg32,02168
Châtenay-Malabry,6282,IDF_DEP_92,92019
Châtillon,3949,IDF_DEP_92,92020
Chaville,2301,IDF_DEP_92,92022
Chelles,4888,IDF_DEP_77,77108
Chevilly-Larue,3035,IDF_DEP_94,94021
Choisy-le-Roi,6638,IDF_DEP_94,94022
Cholet,5063,reg52,49099
Clamart,6682,IDF_DEP_92,92023
Clermont-Ferrand,21250,reg84,63113
Clichy,9970,IDF_DEP_92,92024
Clichy-sous-Bois,3323,IDF_DEP_93,93014
Colombes,11700,IDF_DEP_92,92025
Compiègne,7028,reg32,60159
Conflans-Sainte-Honorine,2979,IDF_DEP_78,78172
Corbeil-Essonnes,6257,IDF_DEP_91,91174
Coudekerque-Branche,2890,reg32,59155
Coulommiers,2273,IDF_DEP_77,77131
