Code Officiel Région;Nom Officiel Région;Code Officiel Commune / Arrondissement Municipal;Nom Officiel Commune / Arrondissement Municipal;Population municipale;Population comptée à part;Population totale;Code Officiel Département;Code Officiel Arrondissement Départemental;Année de recensement;Année d’entrée en vigueur;Année de référence géographique;Nom Officiel EPCI;Code Officiel EPCI;Nom Officiel Département
84;Auvergne-Rhône-Alpes;38523;Varacieux;842;19;861;38;001;2018;2021;2020;CC Saint-Marcellin Vercors Isère Communauté;200070431;Isère
84;Auvergne-Rhône-Alpes;38533;Venon;723;16;739;38;001;2018;2021;2020;Grenoble-Alpes-Métropole;200040715;Isère
84;Auvergne-Rhône-Alpes;38543;Vézeronce-Curtin;2147;35;2182;38;002;2018;2021;2020;CC Les Balcons du Dauphiné;200068542;Isère
84;Auvergne-Rhône-Alpes;38015;Artas;1804;38;1842;38;003;2018;2021;2020;CC Bièvre Isère;200059392;Isère
84;Auvergne-Rhône-Alpes;38018;Auberives-en-Royans;369;10;379;38;001;2018;2021;2020;CC Saint-Marcellin Vercors Isère Communauté;200070431;Isère
84;Auvergne-Rhône-Alpes;38030;Beaucroissant;1713;30;1743;38;001;2018;2021;2020;CC de Bièvre Est;243801073;Isère
84;Auvergne-Rhône-Alpes;38065;Châbons;2065;49;2114;38;002;2018;2021;2020;CC de Bièvre Est;243801073;Isère
84;Auvergne-Rhône-Alpes;38074;Chantesse;348;6;354;38;001;2018;2021;2020;CC Saint-Marcellin Vercors Isère Communauté;200070431;Isère
84;Auvergne-Rhône-Alpes;38110;Chuzelles;2221;43;2264;38;003;2018;2021;2020;CA Vienne Condrieu;200077014;Isère
84;Auvergne-Rhône-Alpes;38116;Cognet;41;0;41;38;001;2018;2021;2020;CC de la Matheysine;200040657;Isère
84;Auvergne-Rhône-Alpes;38221;Marnans;144;3;147;38;003;2018;2021;2020;CC Bièvre Isère;200059392;Isère
84;Auvergne-Rhône-Alpes;38241;Monestier-d'Ambel;18;0;18;38;001;2018;2021;2020;CC de la Matheysine;200040657;Isère
84;Auvergne-Rhône-Alpes;38295;Parmilieu;709;12;721;38;002;2018;2021;2020;CC Les Balcons du Dauphiné;200068542;Isère
84;Auvergne-Rhône-Alpes;38311;Pommier-de-Beaurepaire;705;15;720;38;003;2018;2021;2020;CC d'Entre Bièvre et Rhône;200085751;Isère
84;Auvergne-Rhône-Alpes;38322;Presles;90;2;92;38;001;2018;2021;2020;CC Saint-Marcellin Vercors Isère Communauté;200070431;Isère
84;Auvergne-Rhône-Alpes;38425;Saint-Maurice-l'Exil;6192;92;6284;38;003;2018;2021;2020;CC d'Entre Bièvre et Rhône;200085751;Isère
84;Auvergne-Rhône-Alpes;38453;Saint-Romans;1774;41;1815;38;001;2018;2021;2020;CC Saint-Marcellin Vercors Isère Communauté;200070431;Isère
84;Auvergne-Rhône-Alpes;38516;La Tronche;6588;140;6728;38;001;2018;2021;2020;Grenoble-Alpes-Métropole;200040715;Isère
84;Auvergne-Rhône-Alpes;38525;Vasselin;461;5;466;38;002;2018;2021;2020;CC Les Balcons du Dauphiné;200068542;Isère
84;Auvergne-Rhône-Alpes;38001;Les Abrets en Dauphiné;6336;105;6441;38;002;2018;2021;2020;CC Les Vals du Dauphiné;200068567;Isère
84;Auvergne-Rhône-Alpes;38063;Burcin;431;14;445;38;002;2018;2021;2020;CC de Bièvre Est;243801073;Isère
84;Auvergne-Rhône-Alpes;38133;Coublevie;5026;397;5423;38;001;2018;2021;2020;CA du Pays Voironnais;243800984;Isère
84;Auvergne-Rhône-Alpes;38166;La Flachère;478;11;489;38;001;2018;2021;2020;CC Le Grésivaudan;200018166;Isère
84;Auvergne-Rhône-Alpes;38184;Grenay;1596;20;1616;38;003;2018;2021;2020;CC des Collines du Nord Dauphiné;243801255;Isère
84;Auvergne-Rhône-Alpes;38199;Jardin;2181;56;2237;38;003;2018;2021;2020;CA Vienne Condrieu;200077014;Isère
84;Auvergne-Rhône-Alpes;38250;Montcarra;551;17;568;38;002;2018;2021;2020;CC Les Balcons du Dauphiné;200068542;Isère
84;Auvergne-Rhône-Alpes;38269;La Mure;4930;208;5138;38;001;2018;2021;2020;CC de la Matheysine;200040657;Isère
84;Auvergne-Rhône-Alpes;38286;Oulles;6;0;6;38;001;2018;2021;2020;CC de l'Oisans;243800745;Isère
84;Auvergne-Rhône-Alpes;38310;Poliénas;1200;16;1216;38;001;2018;2021;2020;CC Saint-Marcellin Vercors Isère Communauté;200070431;Isère
84;Auvergne-Rhône-Alpes;38319;Pont-en-Royans;779;31;810;38;001;2018;2021;2020;CC Saint-Marcellin Vercors Isère Communauté;200070431;Isère
84;Auvergne-Rhône-Alpes;38320;Porcieu-Amblagnieu;1776;40;1816;38;002;2018;2021;2020;CC Les Balcons du Dauphiné;200068542;Isère
84;Auvergne-Rhône-Alpes;38344;Roussillon;8453;119;8572;38;003;2018;2021;2020;CC d'Entre Bièvre et Rhône;200085751;Isère
84;Auvergne-Rhône-Alpes;38399;Saint-Jean-de-Bournay;4579;101;4680;38;003;2018;2021;2020;CC Bièvre Isère;200059392;Isère
84;Auvergne-Rhône-Alpes;38400;Saint-Jean-de-Moirans;3543;79;3622;38;001;2018;2021;2020;CA du Pays Voironnais;243800984;Isère
84;Auvergne-Rhône-Alpes;38405;Saint-Joseph-de-Rivière;1222;28;1250;38;001;2018;2021;2020;CC Cœur de Chartreuse;200040111;Isère
84;Auvergne-Rhône-Alpes;38369;Sainte-Blandine;959;37;996;38;002;2018;2021;2020;CC Les Vals du Dauphiné;200068567;Isère
84;Auvergne-Rhône-Alpes;38490;Sillans;1921;46;1967;38;003;2018;2021;2020;CC Bièvre Isère;200059392;Isère
84;Auvergne-Rhône-Alpes;38509;La Tour-du-Pin;8137;206;8343;38;002;2018;2021;2020;CC Les Vals du Dauphiné;200068567;Isère
84;Auvergne-Rhône-Alpes;38559;Vinay;4298;72;4370;38;001;2018;2021;2020;CC Saint-Marcellin Vercors Isère Communauté;200070431;Isère
84;Auvergne-Rhône-Alpes;38225;Autrans-Méaudre en Vercors;3030;103;3133;38;001;2018;2021;2020;CC du Massif du Vercors;243801024;Isère
84;Auvergne-Rhône-Alpes;38076;La Chapelle-de-la-Tour;1846;66;1912;38;002;2018;2021;2020;CC Les Vals du Dauphiné;200068567;Isère
84;Auvergne-Rhône-Alpes;38108;Choranche;121;0;121;38;001;2018;2021;2020;CC Saint-Marcellin Vercors Isère Communauté;200070431;Isère
84;Auvergne-Rhône-Alpes;38132;Les Côtes-de-Corps;71;0;71;38;001;2018;2021;2020;CC de la Matheysine;200040657;Isère
84;Auvergne-Rhône-Alpes;38185;Grenoble;157650;2205;159855;38;001;2018;2021;2020;Grenoble-Alpes-Métropole;200040715;Isère
84;Auvergne-Rhône-Alpes;38198;Jarcieu;1048;22;1070;38;003;2018;2021;2020;CC d'Entre Bièvre et Rhône;200085751;Isère
84;Auvergne-Rhône-Alpes;38229;Meylan;17448;390;17838;38;001;2018;2021;2020;Grenoble-Alpes-Métropole;200040715;Isère
84;Auvergne-Rhône-Alpes;38244;Monsteroux-Milieu;796;19;815;38;003;2018;2021;2020;CC d'Entre Bièvre et Rhône;200085751;Isère
84;Auvergne-Rhône-Alpes;38247;Montalieu-Vercieu;3417;55;3472;38;002;2018;2021;2020;CC Les Balcons du Dauphiné;200068542;Isère
84;Auvergne-Rhône-Alpes;38264;La Morte;134;0;134;38;001;2018;2021;2020;CC de la Matheysine;200040657;Isère
84;Auvergne-Rhône-Alpes;38273;Nantes-en-Ratier;466;19;485;38;001;2018;2021;2020;CC de la Matheysine;200040657;Isère
84;Auvergne-Rhône-Alpes;38284;Ornacieux-Balbins;846;27;873;38;003;2018;2021;2020;CC Bièvre Isère;200059392;Isère
84;Auvergne-Rhône-Alpes;38378;Saint-Clair-du-Rhône;3761;87;3848;38;003;2018;2021;2020;CC d'Entre Bièvre et Rhône;200085751;Isère
84;Auvergne-Rhône-Alpes;38437;Saint-Paul-d'Izeaux;293;6;299;38;003;2018;2021;2020;CC Bièvre Isère;200059392;Isère
84;Auvergne-Rhône-Alpes;38350;Sainte-Agnès;558;18;576;38;001;2018;2021;2020;CC Le Grésivaudan;200018166;Isère
84;Auvergne-Rhône-Alpes;38414;Sainte-Luce;42;2;44;38;001;2018;2021;2020;CC de la Matheysine;200040657;Isère
84;Auvergne-Rhône-Alpes;38472;Sarcenas;202;4;206;38;001;2018;2021;2020;Grenoble-Alpes-Métropole;200040715;Isère
84;Auvergne-Rhône-Alpes;38481;Sérézin-de-la-Tour;1068;31;1099;38;002;2018;2021;2020;CA Porte de l'Isère (C.A.P.I);243800604;Isère
84;Auvergne-Rhône-Alpes;38485;Seyssinet-Pariset;12017;144;12161;38;001;2018;2021;2020;Grenoble-Alpes-Métropole;200040715;Isère
84;Auvergne-Rhône-Alpes;38500;Têche;574;6;580;38;001;2018;2021;2020;CC Saint-Marcellin Vercors Isère Communauté;200070431;Isère
84;Auvergne-Rhône-Alpes;38131;Les Côtes-d'Arey;2023;74;2097;38;003;2018;2021;2020;CA Vienne Condrieu;200077014;Isère
84;Auvergne-Rhône-Alpes;38135;Courtenay;1275;21;1296;38;002;2018;2021;2020;CC Les Balcons du Dauphiné;200068542;Isère
84;Auvergne-Rhône-Alpes;38222;Massieu;752;17;769;38;002;2018;2021;2020;CA du Pays Voironnais;243800984;Isère
84;Auvergne-Rhône-Alpes;38331;Réaumont;1010;31;1041;38;001;2018;2021;2020;CA du Pays Voironnais;243800984;Isère
84;Auvergne-Rhône-Alpes;38339;Roche;2105;56;2161;38;002;2018;2021;2020;CC des Collines du Nord Dauphiné;243801255;Isère
84;Auvergne-Rhône-Alpes;38384;Saint-Étienne-de-Saint-Geoirs;3226;44;3270;38;003;2018;2021;2020;CC Bièvre Isère;200059392;Isère
84;Auvergne-Rhône-Alpes;38402;Saint-Jean-de-Vaulx;530;19;549;38;001;2018;2021;2020;CC de la Matheysine;200040657;Isère
84;Auvergne-Rhône-Alpes;38514;Tréminis;177;1;178;38;001;2018;2021;2020;CC du Trièves;200030658;Isère
84;Auvergne-Rhône-Alpes;38528;Vaulnaveys-le-Bas;1292;29;1321;38;001;2018;2021;2020;Grenoble-Alpes-Métropole;200040715;Isère
84;Auvergne-Rhône-Alpes;38535;Vernas;265;7;272;38;002;2018;2021;2020;CC Les Balcons du Dauphiné;200068542;Isère
84;Auvergne-Rhône-Alpes;38545;Vif;8580;126;8706;38;001;2018;2021;2020;Grenoble-Alpes-Métropole;200040715;Isère
84;Auvergne-Rhône-Alpes;38517;Tullins;7719;122;7841;38;001;2018;2021;2020;CA du Pays Voironnais;243800984;Isère
84;Auvergne-Rhône-Alpes;38522;Valjouffrey;132;2;134;38;001;2018;2021;2020;CC de la Matheysine;200040657;Isère
84;Auvergne-Rhône-Alpes;38527;Vaujany;339;4;343;38;001;2018;2021;2020;CC de l'Oisans;243800745;Isère
84;Auvergne-Rhône-Alpes;38530;Vaulx-Milieu;2546;51;2597;38;002;2018;2021;2020;CA Porte de l'Isère (C.A.P.I);243800604;Isère
84;Auvergne-Rhône-Alpes;38087;Chasse-sur-Rhône;6128;56;6184;38;003;2018;2021;2020;CA Vienne Condrieu;200077014;Isère
84;Auvergne-Rhône-Alpes;38129;Corrençon-en-Vercors;357;17;374;38;001;2018;2021;2020;CC du Massif du Vercors;243801024;Isère
84;Auvergne-Rhône-Alpes;38154;Entraigues;226;2;228;38;001;2018;2021;2020;CC de la Matheysine;200040657;Isère
84;Auvergne-Rhône-Alpes;38176;Frontonas;2091;55;2146;38;002;2018;2021;2020;CC Les Balcons du Dauphiné;200068542;Isère
84;Auvergne-Rhône-Alpes;38231;Meyrieu-les-Étangs;1023;33;1056;38;003;2018;2021;2020;CC Bièvre Isère;200059392;Isère
84;Auvergne-Rhône-Alpes;38326;Prunières;361;12;373;38;001;2018;2021;2020;CC de la Matheysine;200040657;Isère
84;Auvergne-Rhône-Alpes;38360;Saint-Appolinard;409;8;417;38;001;2018;2021;2020;CC Saint-Marcellin Vercors Isère Communauté;200070431;Isère
84;Auvergne-Rhône-Alpes;38391;Saint-Guillaume;252;5;257;38;001;2018;2021;2020;CC du Trièves;200030658;Isère
84;Auvergne-Rhône-Alpes;38392;Saint-Hilaire-de-Brens;625;23;648;38;002;2018;2021;2020;CC Les Balcons du Dauphiné;200068542;Isère
84;Auvergne-Rhône-Alpes;38404;Saint-Jean-le-Vieux;295;4;299;38;001;2018;2021;2020;CC Le Grésivaudan;200018166;Isère
84;Auvergne-Rhône-Alpes;38406;Saint-Julien-de-l'Herms;149;4;153;38;003;2018;2021;2020;CC d'Entre Bièvre et Rhône;200085751;Isère
84;Auvergne-Rhône-Alpes;38413;Saint-Laurent-en-Beaumont;441;9;450;38;001;2018;2021;2020;CC de la Matheysine;200040657;Isère
84;Auvergne-Rhône-Alpes;38416;Saint-Marcellin;7791;179;7970;38;001;2018;2021;2020;CC Saint-Marcellin Vercors Isère Communauté;200070431;Isère
84;Auvergne-Rhône-Alpes;38446;Saint-Pierre-d'Entremont;570;14;584;38;001;2018;2021;2020;CC Cœur de Chartreuse;200040111;Isère
84;Auvergne-Rhône-Alpes;38464;Saint-Victor-de-Cessieu;2235;49;2284;38;002;2018;2021;2020;CC Les Vals du Dauphiné;200068567;Isère
