"__id","id_brut_reu","id_brut_insee","code_commune","code","libelle_reu","num_voie_reu","voie_reu","cp_reu","commune_reu","nb_adresses_final"
65152,"93073_1","93073_1",93073,1,"hotel de ville",18,"boulevard  DE L'HOTEL DE VILLE",93290,"tremblay en france",188
65153,"93073_10","93073_10",93073,10,"ecole jean jaures"," ","RUE DE PROVENCE",93290,"tremblay en france",581
65154,"93073_11","93073_11",93073,11,"ecole jean jaures"," ","RUE DE TOULOUSE",93290,"tremblay en france",552
65155,"93073_12","93073_12",93073,12,"ecole primaire pierre brossolette",5,"RUE PIERRE BROSSOLETTE",93290,"tremblay en france",192
65156,"93073_13","93073_13",93073,13,"ecole eugenie cotton",4,"RUE EUGENIE COTTON",93290,"tremblay en france",113
65157,"93073_14","93073_14",93073,14,"ecole rosenberg",3,"ALLEE BULLANT",93290,"tremblay en france",90
65158,"93073_15","93073_15",93073,15,"ecole andre malraux"," ","CHE DE LA PISSOTTE",93290,"tremblay en france",258
65159,"93073_16","93073_16",93073,16,"ecole maternelle d casanova",51,"AVENUE  DIXIEME",93290,"tremblay en france",568
65160,"93073_17","93073_17",93073,17,"ecole maternelle jacques prevert",48,"AVENUE  DU PARC",93290,"tremblay en france",88
65161,"93073_18","93073_18",93073,18,"espace ambroise croizat",3,"PLACE  PIERRE CURIE",93290,"tremblay en france",571
65162,"93073_19","93073_19",93073,19,"hotel de ville"," ","ESPLANADE DES DROITS DE L'HOMME",93290,"tremblay en france",156
65163,"93073_2","93073_2",93073,2,"espace henri barbusse",60,"AVENUE  DIXIEME",93290,"tremblay en france",636
65164,"93073_20","93073_20",93073,20,"ecole andre malraux"," ","CHEMIN DE LA PISSOTTE",93290,"tremblay en france",385
65165,"93073_21","93073_21",93073,21,"ecole jacques prevert",48,"AVENUE  DU PARC",93290,"tremblay en france",111
65166,"93073_22","93073_22",93073,22,"ecole victor hugo"," ","AVENUE DES EGLANTINES",93290,"tremblay en france",347
65167,"93073_23","93073_23",93073,23,"ecole suzanne buisson"," ","AVENUE MOZART",93290,"tremblay en france",376
65168,"93073_3","93073_3",93073,3,"ecole honore de balzac"," ","rue Hector Berlioz",93290,"tremblay en france",494
65169,"93073_4","93073_4",93073,4,"ecole eugene varlin",4,"RUE JULES FERRY",93290,"tremblay en france",594
65170,"93073_5","93073_5",93073,5,"ecole maternelle suzanne buisson"," ","AVENUE MOZART",93290,"tremblay en france",368
65171,"93073_6","93073_6",93073,6,"ecole victor hugo"," ","AVENUE DES EGLANTINES",93290,"tremblay en france",375
65172,"93073_7","93073_7",93073,7,"ecole maternelle marie curie",8,"8RUE DE LILLE",93290,"tremblay en france",671
65173,"93073_8","93073_8",93073,8,"ecole anatole france",19,"RUE DE BOURGOGNE",93290,"tremblay en france",470
65174,"93073_9","93073_9",93073,9,"ecole anatole france",19,"RUE DE BOURGOGNE",93290,"tremblay en france",571
65112,"93071_1","93071_1",93071,1,"salle des mariages hotel de ville",26,"AVENUE DU GENERAL LECLERC",93270,"sevran",482
65113,"93071_10","93071_10",93071,10,"gymnase victor hugo",34,"BOULEVARD DE LA REPUBLIQUE",93270,"sevran",396
65114,"93071_11","93071_11",93071,11,"groupe scolaire jean perrin",11,"VILLA DES PRES",93270,"sevran",517
65115,"93071_12","93071_12",93071,12,"groupe scolaire jean perrin",11,"VILLA DES PRES",93270,"sevran",440
65116,"93071_13","93071_13",93071,13,"groupe scolaire jean perrin",11,"VILLA DES PRES",93270,"sevran",229
65117,"93071_14","93071_14",93071,14,"groupe scolaire marie curie",4,"RUE PIERRE BROSSOLETTE",93270,"sevran",297
65118,"93071_15","93071_15",93071,15,"groupe scolaire marie curie",4,"RUE PIERRE BROSSOLETTE",93270,"sevran",247
65119,"93071_16","93071_16",93071,16,"groupe scolaire anatole france",0,"ALLEE KILIAN",93270,"sevran",292
65120,"93071_17","93071_17",93071,17,"groupe scolaire anatole france",0,"ALLEE KILIAN",93270,"sevran",145
65121,"93071_18","93071_18",93071,18,"groupe scolaire anatole france",0,"ALLEE KILIAN",93270,"sevran",223
65122,"93071_19","93071_19",93071,19,"groupe scolaire montaigne",1,"ALLEE JAN PALACH",93270,"sevran",174
65123,"93071_2","93071_2",93071,2,"groupe scolaire a cretier maternel",12,"RUE ROGER LE MANER",93270,"sevran",508
65124,"93071_20","93071_20",93071,20,"groupe scolaire montaigne",1,"ALLEE JAN PALACH",93270,"sevran",199
65125,"93071_21","93071_21",93071,21,"groupe scolaire robert desnos",0,"AVENUE DU GENERAL DE GAULLE",93270,"sevran",487
65126,"93071_22","93071_22",93071,22,"groupe scolaire robert desnos",0,"AVENUE DU GENERAL DE GAULLE",93270,"sevran",477
65127,"93071_23","93071_23",93071,23,"groupe scolaire emile zola",0,"AVENUE YOURI GAGARINE",93270,"sevran",294
65128,"93071_24","93071_24",93071,24,"groupe scolaire saint exupery",0,"AVENUE DU COMMANDANT CHARCOT",93270,"sevran",278
65129,"93071_25","93071_25",93071,25,"groupe scolaire francois villon",0,"ALLEE DES IRIS",93270,"sevran",249
65130,"93071_3","93071_3",93071,3,"groupe scolaire a cretier maternel",12,"RUE ROGER LE MANER",93270,"sevran",150
65131,"93071_4","93071_4",93071,4,"groupe scolaire sevigne",35,"AVENUE LEON JOUHAUX",93270,"sevran",524
65132,"93071_5","93071_5",93071,5,"groupe scolaire sevigne",35,"AVENUE LEON JOUHAUX",93270,"sevran",319
65133,"93071_6","93071_6",93071,6,"gymnase victor hugo",34,"BOULEVARD DE LA REPUBLIQUE",93270,"sevran",512
65134,"93071_7","93071_7",93071,7,"gymnase victor hugo",34,"BOULEVARD DE LA REPUBLIQUE",93270,"sevran",415
65135,"93071_8","93071_8",93071,8,"gymnase victor hugo",34,"BOULEVARD DE LA REPUBLIQUE",93270,"sevran",707
65136,"93071_9","93071_9",93071,9,"gymnase victor hugo",34,"BOULEVARD DE LA REPUBLIQUE",93270,"sevran",478
65195,"93078_1","93078_1",93078,1,"espaces v roger lefort"," ","PLACE AIME CESAIRE",93420,"villepinte",235
65196,"93078_10","93078_10",93078,10,"centre culturel nelson mandela",19,"AVENUE CUVIER",93420,"villepinte",407
65197,"93078_11","93078_11",93078,11,"ecole fontaine mallet matern",1,"RUE MANET",93420,"villepinte",420
65198,"93078_12","93078_12",93078,12,"centre culturel nelson mandela",19,"AVENUE CUVIER",93420,"villepinte",378
65199,"93078_13","93078_13",93078,13,"ecole primaire pasteur",5,"RUE FRANCOIS MAURIAC",93420,"villepinte",148
65200,"93078_14","93078_14",93078,14,"ecole charles peguy",0,"AVENUE BORIS VIAN",93420,"villepinte",217
65201,"93078_15","93078_15",93078,15,"ecole victor hugo ii primaire",0,"BOULEVARD DU PRESIDENT KENNEDY",93420,"villepinte",356
65202,"93078_16","93078_16",93078,16,"ecole saint exupery primaire",0,"RUE MARIUS PETIPA",93420,"villepinte",403
65203,"93078_17","93078_17",93078,17,"ecole marie laurencin primaire",0,"RUE CLAUDE NICOLAS LEDOUX",93420,"villepinte",273
65204,"93078_18","93078_18",93078,18,"ecole marie laurencin primaire",0,"RUE CLAUDE NICOLAS LEDOUX",93420,"villepinte",319
65205,"93078_19","93078_19",93078,19,"salle polyval haie bertrand",0,"AVENUE SACCO ET VANZETTI",93420,"villepinte",460
65206,"93078_2","93078_2",93078,2,"espaces v roger lefort"," ","PLACE AIME CESAIRE",93420,"villepinte",257
65207,"93078_20","93078_20",93078,20,"mairie",0,"PLACE DE LA MAIRIE",93420,"villepinte",493
65208,"93078_21","93078_21",93078,21,"salle polyvalente haie bertrand",0,"AVENUE SACCO ET VANZETTI",93420,"villepinte",484
65209,"93078_22","93078_22",93078,22,"ecole de la pepiniere",0,"BOULEVARD DE LA PÉPINIÈRE",93420,"villepinte",235
65210,"93078_23","93078_23",93078,23,"ecole de la pepiniere",0,"BOULEVARD DE LA PÉPINIÈRE",93420,"villepinte",234
65211,"93078_24","93078_24",93078,24,"ecole maternelle pasteur",5,"RUE FRANCOIS MAURIAC",93420,"villepinte",169
65212,"93078_25","93078_25",93078,25,"alsh marie laurencin",34,"RUE CLAUDE NICOLAS LEDOUX",93420,"villepinte",337
65213,"93078_3","93078_3",93078,3,"centre administratif salle des tilleuls",16,"AVENUE PAUL VAILLANT COUTURIER",93420,"villepinte",445
65214,"93078_4","93078_4",93078,4,"centre adm salle des tilleuls",16,"AVENUE PAUL VAILLANT COUTURIER",93420,"villepinte",452
65215,"93078_5","93078_5",93078,5,"ecole primaire vert galant 1",0,"IMPASSE CHEVALIER. DE LA BARRE",93420,"villepinte",524
65216,"93078_6","93078_6",93078,6,"ecole primaire vert galant 1",0,"IMPASSE CHEVALIER. DE LA BARRE",93420,"villepinte",393
65217,"93078_7","93078_7",93078,7,"centre de loisirs les loups",0,"CHEMIN DU LOUP",93420,"villepinte",542
65218,"93078_8","93078_8",93078,8,"centre de loisirs les loups",0,"CHEMIN DU LOUP",93420,"villepinte",386
65219,"93078_9","93078_9",93078,9,"ecole primaire ch de gaulle",4,"AVENUE DU GENERAL DE GAULLE",93420,"villepinte",258
