insee,nom,couleur
"30189",Nîmes,1
"67460",Schwindratzheim,1
"40077",Cauneille,2
"67058",Bossendorf,4
"59136",Le Cateau-Cambrésis,1
"64046",Armendarits,4
"64362",Luxe-Sumberraute,4
"67043",Bischheim,2
"67034",Berstett,1
"67119",Eckwersheim,3
"08217",Haulmé,2
"67361",Olwisheim,5
"67100",Donnenheim,4
"21200",Couchey,2
"64555",Viellenave-de-Navarrenx,4
"67256",Lampertheim,3
"67309",Mundolsheim,4
"40155",Linxe,2
"40075",Castets,1
"67307",Mulhausen,3
"21265",Fixin,3
"67446",Schillersdorf,4
"40186",Misson,4
"67044",Bischholtz,2
"33530",Teuillac,3
"67242",Kirrwiller,2
"21178",Clémencey,1
"67225",Issenhausen,1
"08344",Prez,2
"67057",Bosselshausen,4
"21110",Brochon,4
"78646",Versailles,4
"67530",Wickersheim-Wilshausen,1
"34189",Olonzac,4
"67153",Geiswiller,2
"67202",Hochfelden,2
"67209",Hohfrankenheim,1
"64430",Orthez,5
"67312",Mutzenhouse,4
"21026",Asnières-en-Montagne,1
"67107",Duntzenheim,3
"67163",Gougenheim,4
"77070",Chailly-en-Brie,2
"67287",Melsheim,3
"67444",Scherlenheim,4
"77042",Boissy-le-Châtel,4
"67220",Ingenheim,5
"09054",Betchat,1
"65175",Ferrère,2
"60509",Pont-Sainte-Maxence,1
"64301",Lagor,5
"67415",Rothbach,3
"80390",Grivesnes,2
"21592",Savigny-sous-Mâlain,5
"67204",Hœnheim,3
"67471",Souffelweyersheim,2
"21137",Champ-d'Oiseau,1
"21341",Lantilly,3
"76295",Gaillefontaine,3
"21550",Saint-Germain-lès-Senailly,5
"67495",Truchtersheim,2
"64198",Denguin,1
"67485",Stutzheim-Offenheim,4
"33525",Tauriac,4
"67097",Dingsheim,1
"67118",Eckbolsheim,3
"64142",Bougarber,3
"67267",Lingolsheim,2
"67365",Ostwald,3
"67152",Geispolsheim,1
"76258",Terres-de-Caux,4
"64057",Arthez-de-Béarn,3
"67236",Kienheim,3
"67452",Schnersheim,3
"67406",Rohr,1
"67423",Saessolsheim,2
"67548",Wiwersheim,1
"73098",Les Déserts,2
"67532",Willgottheim,4
"40232",Poudenx,1
"40007",Argelos,5
"64254",Hagetaubin,2
"64406",Morlanne,4
"67258",Landersheim,5
"67380",Printzheim,5
"67162",Gottesheim,4
"27464",Le Plessis-Grohan,4
"67185",Hattmatt,2
"67089",Dettwiller,1
"67269",Littenheim,4
"27602",Saint-Sébastien-de-Morsent,1
"67145",Friedolsheim,1
"27132",Caugé,2
"33458",Saint-Paul,1
"64183",Caubios-Loos,3
"64146",Bournos,1
"68298",Sainte-Marie-aux-Mines,2
"67103",Dossenheim-sur-Zinsel,5
"67524",Weiterswiller,5
"67521",Weinbourg,3
"67475",Sparsbach,2
"67302",Monswiller,2
"67149",Furchhausen,3
"33078",Cabara,4
"67553",Wolschheim,4
"67279",Maennolsheim,2
"67366",Ottersthal,4
"72270",Saint-Calez-en-Saosnois,3
"88304",Mirecourt,1
"64370",Maucor,1
"64405",Morlaàs,2
"67350",Oberschaeffolsheim,3
"64482",Saint-Jammes,3
"67551",Wolfisheim,1
"67212",Holtzheim,4
"67124",Entzheim,5
"67182",Hangenbieten,2
"09304",Suzan,1
"67065",Breuschwickersheim,3
"67049",Blaesheim,2
"64190",Claracq,2
"67108",Duppigheim,1
"67247",Kolbsheim,4
"64307",Lalongue,4
"67128",Ernolsheim-Bruche,5
"67363",Osthoffen,1
"67150",Furdenheim,4
"40054",Brassempouy,1
"40203",Nassiet,4
"67382",Quatzenheim,2
"67102",Dossenheim-Kochersberg,4
"67138",Fessenheim-le-Bas,1
"67228",Neugartheim-Ittlenheim,2
"67181",Handschuheim,3
"67112",Duttlenheim,3
"64524",Simacourbe,5
"67197",Hindisheim,3
"67268",Lipsheim,2
"67200",Hipsheim,2
"67266",Limersheim,4
"67336",Nordhouse,1
"67542",Wintzenheim-Kochersberg,5
"67253",Kuttolsheim,3
"67208",Hohengœft,2
"67335",Nordheim,4
"67282",Marlenheim,2
"67081",Dahlenheim,3
"67127",Ergersheim,4
"67080",Dachstein,1
"67520",Wasselonne,1
"67554",Wolxheim,2
"67556",Zeinheim,2
"40211",Orist,3
"67527",Westhouse-Marmoutier,1
"67244",Kleingœft,3
"25463",Pont-de-Roide-Vermondans,2
"67245",Knœrsheim,3
"40276",Saint-Michel-Escalus,3
"40150",Léon,2
"67555",Zehnacker,4
"67078",Crastatt,3
"40294",Saugnac-et-Cambran,4
"40095",Estibeaux,5
"40308",Sort-en-Chalosse,1
"40106",Garrey,2
"40084",Clermont,4
"40183",Mimbaste,2
"40216",Ozourt,5
"67229",Jetterswiller,5
"67395",Reutenbourg,3
"67004",Sommerau,4
"40237",Préchacq-les-Bains,3
"40113",Goos,2
"67161",Gottenhouse,5
"40090",Donzacq,1
"40071",Castelnau-Chalosse,2
"67408",Romanswiller,5
"67223",Innenheim,4
"67008",Altorf,2
"67300",Molsheim,5
"67473",Soultz-les-Bains,1
"67101",Dorlisheim,1
"67313",Mutzig,2
"67410",Rosenwiller,3
"67248",Krautergersheim,2
"67438",Schaeffersheim,2
"67054",Bolsenheim,4
"40182",Mézos,3
"40278",Saint-Paul-en-Born,2
"40019",Aureilhan,3
"67364",Osthouse,1
"67501",Uttenheim,3
"40253",Saint-Cricq-Chalosse,4
"40188",Momuy,2
"40299",Serreslous-et-Arribans,5
"10289",Plancy-l'Abbaye,1
"77020",Bannost-Villegagnon,2
"45289",Saint-Lyé-la-Forêt,2
"40119",Hagetmau,3
"40190",Monségur,1
"40089",Doazit,2
"40252",Sainte-Colombe,5
"51298",Igny-Comblizy,1
"40191",Montaut,5
"67517",Wangen,3
"40128",Horsarrieu,1
"67525",Westhoffen,2
"40098",Eyres-Moncube,1
"40017",Audignon,5
"67354",Odratzheim,4
"67442",Scharrachbergheim-Irmstett,5
"67077",Cosswiller,3
"67122",Wangenbourg-Engenthal,1
"40135",Labrit,2
"40033",Bélis,3
"40026",Bas-Mauco,4
"40058",Cachen,5
"67489",Thal-Marmoutier,5
"67492",Traenheim,1
"67030",Bergbieten,3
"02383",Homblières,2
"60143",Chaumont-en-Vexin,2
"67168",Gresswiller,4
"67299",Mollkirch,1
"40037",Benquet,1
"40139",Laglorieuse,3
"40192",Mont-de-Marsan,1
"40281",Saint-Pierre-du-Mont,4
"80442",Hombleux,3
"40051",Bougue,5
"62181",Bucquoy,1
"62096",Beaumetz-lès-Cambrai,1
"40022",Bahus-Soubiran,2
"67325",Niederhaslach,4
"62890",Willeman,3
"67273",Lohr,5
"62437",Herly,3
"67198",Hinsbourg,1
"32398",Saint-Mont,2
"47286",Sauméjan,5
"08100",Champlin,2
"67428",Saint-Nabor,4
"76222",Duclair,4
"67164",Goxwiller,1
"06147",Tourrette-Levens,4
"67189",Heiligenstein,4
"31483",Saint-Gaudens,2
"67504",Valff,3
"67557",Zellwiller,4
"67155",Gertwiller,5
"26063",Buis-les-Baronnies,4
"30067",La Capelle-et-Masmolène,1
"67338",Obenheim,3
"67086",Daubensand,1
"08037",Auvillers-les-Forges,4
"40331",Villeneuve-de-Marsan,2
"67420",Russ,1
"67020",Barembach,2
"32202",Laujuzan,3
"32274",Monlezun-d'Armagnac,1
"67448",Schirmeck,4
"08028",Aubrives,2
"67414",Rothau,3
"32025",Ayzieu,1
"32062",Bourrouillan,2
"32369",Sainte-Christie-d'Armagnac,4
"32211",Lias-d'Armagnac,3
"32127",Estang,4
"32305",Panjas,5
"67210",Le Hohwald,3
