"com_code","com_annee","com_type","popref_annee","popref_mun","popref_a_part","popref_tot","popref_date_maj"
"01001","2024","COM","2022","859","16","875","2024-12-30"
"01002","2024","COM","2022","273","6","279","2024-12-30"
"01004","2024","COM","2022","15554","376","15930","2024-12-30"
"01005","2024","COM","2022","1917","24","1941","2024-12-30"
"01006","2024","COM","2022","114","0","114","2024-12-30"
"01007","2024","COM","2022","2828","118","2946","2024-12-30"
"01008","2024","COM","2022","764","17","781","2024-12-30"
"01009","2024","COM","2022","335","8","343","2024-12-30"
"01010","2024","COM","2022","1150","25","1175","2024-12-30"
"01011","2024","COM","2022","399","10","409","2024-12-30"
"01012","2024","COM","2022","329","13","342","2024-12-30"
"01013","2024","COM","2022","140","3","143","2024-12-30"
"01014","2024","COM","2022","3482","80","3562","2024-12-30"
"01015","2024","COM","2022","688","11","699","2024-12-30"
"01016","2024","COM","2022","459","9","468","2024-12-30"
"01017","2024","COM","2022","420","10","430","2024-12-30"
"01019","2024","COM","2022","25","4","29","2024-12-30"
"01021","2024","COM","2022","1513","28","1541","2024-12-30"
"01022","2024","COM","2022","1141","15","1156","2024-12-30"
"01023","2024","COM","2022","77","0","77","2024-12-30"
"01024","2024","COM","2022","3372","68","3440","2024-12-30"
"01025","2024","COM","2022","4057","101","4158","2024-12-30"
"01026","2024","COM","2022","987","66","1053","2024-12-30"
"01027","2024","COM","2022","2878","79","2957","2024-12-30"
"01028","2024","COM","2022","618","17","635","2024-12-30"
"01029","2024","COM","2022","717","12","729","2024-12-30"
"01030","2024","COM","2022","826","15","841","2024-12-30"
"01031","2024","COM","2022","3581","249","3830","2024-12-30"
"01032","2024","COM","2022","3484","42","3526","2024-12-30"
"01033","2024","COM","2022","16162","301","16463","2024-12-30"
"01034","2024","COM","2022","9270","314","9584","2024-12-30"
"01035","2024","COM","2022","306","8","314","2024-12-30"
"01036","2024","COM","2022","1350","25","1375","2024-12-30"
"01037","2024","COM","2022","311","3","314","2024-12-30"
"01038","2024","COM","2022","769","17","786","2024-12-30"
"01040","2024","COM","2022","481","11","492","2024-12-30"
"01041","2024","COM","2022","762","14","776","2024-12-30"
"01042","2024","COM","2022","290","7","297","2024-12-30"
"01043","2024","COM","2022","4936","115","5051","2024-12-30"
"01044","2024","COM","2022","669","16","685","2024-12-30"
"01045","2024","COM","2022","280","7","287","2024-12-30"
"01046","2024","COM","2022","897","12","909","2024-12-30"
"01047","2024","COM","2022","1351","36","1387","2024-12-30"
"01049","2024","COM","2022","3401","80","3481","2024-12-30"
"01050","2024","COM","2022","390","4","394","2024-12-30"
"01051","2024","COM","2022","99","0","99","2024-12-30"
"01052","2024","COM","2022","323","6","329","2024-12-30"
"01053","2024","COM","2022","42065","1631","43696","2024-12-30"
"01054","2024","COM","2022","1540","39","1579","2024-12-30"
"01056","2024","COM","2022","362","8","370","2024-12-30"
"01057","2024","COM","2022","509","16","525","2024-12-30"
"01058","2024","COM","2022","812","19","831","2024-12-30"
"01060","2024","COM","2022","547","11","558","2024-12-30"
