"","cp","ville","cle","nb"
"1",93250,"VILLEMOMBLE","A10",8
"2",55100,"SAMOGNEUX","A100",2
"3",55100,"MARRE","A1008",1
"4",22400,"LAMBALLE-ARMOR","A1057",1
"5",29120,"COMBRIT","A1089",1
"6",93140,"BONDY","A109",1
"7",29120,"COMBRIT","A1103",1
"8",29120,"COMBRIT","A1104",1
"9",13100,"LE THOLONET","A1117",4
"10",91220,"BRETIGNY SUR ORGE","A1122",1
"11",91220,"BRETIGNY SUR ORGE","A1124",1
"12",29120,"ST JEAN TROLIMON","A1125",1
"13",29120,"ST JEAN TROLIMON","A1131",1
"14",29120,"ST JEAN TROLIMON","A1132",1
"15",29120,"COMBRIT","A1133",1
"16",29120,"ST JEAN TROLIMON","A1135",1
"17",29120,"COMBRIT","A1139",1
"18",29120,"ST JEAN TROLIMON","A1140",1
"19",29120,"ST JEAN TROLIMON","A1146",1
"20",29120,"ST JEAN TROLIMON","A1159",1
"21",29120,"COMBRIT","A1161",1
"22",91220,"LE PLESSIS PATE","A1184",1
"23",22400,"HENANSAL","A1185",1
"24",29120,"ST JEAN TROLIMON","A1191",1
"25",91220,"LE PLESSIS PATE","A1199",2
"26",93310,"LE PRE-SAINT-GERVAIS","A12",1
"27",29120,"COMBRIT","A1201",1
"28",93310,"LE PRE-SAINT-GERVAIS","A121",1
"29",93250,"VILLEMOMBLE","A121",7
"30",91220,"LE PLESSIS PATE","A1214",1
"31",77230,"DAMMARTIN-EN-GOELE","A1266",2
"32",13100,"LE THOLONET","A1285",1
"33",29120,"ST JEAN TROLIMON","A1292",1
"34",92140,"CLAMART","A133",1
"35",13100,"LE THOLONET","A1345",2
"36",29120,"COMBRIT","A1360",1
"37",22400,"LAMBALLE-ARMOR","A1361",2
"38",29120,"COMBRIT","A1364",1
"39",29120,"COMBRIT","A1368",1
"40",29120,"COMBRIT","A1423",1
"41",29120,"COMBRIT","A1424",1
"42",29120,"COMBRIT","A1464",1
"43",29120,"COMBRIT","A1466",1
"44",29120,"COMBRIT","A1468",1
"45",85000,"MOUILLERON-LE-CAPTIF","A1515",2
"46",85000,"MOUILLERON-LE-CAPTIF","A1518",1
"47",93700,"DRANCY","A152",1
"48",22400,"LAMBALLE-ARMOR","A1542",1
"49",22400,"LAMBALLE-ARMOR","A1543",1
"50",22400,"LAMBALLE-ARMOR","A1548",1
"51",29120,"COMBRIT","A1610",1
"52",29120,"COMBRIT","A1611",1
"53",29120,"COMBRIT","A1614",1
"54",29120,"COMBRIT","A1616",1
"55",77230,"DAMMARTIN-EN-GOELE","A1638",3
"56",29120,"COMBRIT","A1641",1
"57",22400,"LAMBALLE-ARMOR","A1654",1
"58",22400,"LAMBALLE-ARMOR","A1658",2
"59",22400,"LAMBALLE-ARMOR","A1676",1
"60",77230,"VILLENEUVE SOUS DAMMARTIN","A168",4
"61",22400,"LAMBALLE-ARMOR","A1687",1
"62",77230,"DAMMARTIN-EN-GOELE","A1689",1
"63",77230,"VILLENEUVE SOUS DAMMARTIN","A169",1
"64",77230,"DAMMARTIN-EN-GOELE","A1690",1
"65",22400,"LAMBALLE-ARMOR","A1690",1
"66",22400,"LAMBALLE-ARMOR","A1691",1
"67",22400,"LAMBALLE-ARMOR","A1692",1
"68",22400,"LAMBALLE-ARMOR","A1693",1
"69",22400,"LAMBALLE-ARMOR","A1694",1
"70",22400,"LAMBALLE-ARMOR","A1695",1
