"","X","cp","ville","cle","montantMoyen","montantCourt","dpt","nb"
"3671",3671,31830,"PLAISANCE DU TOUCH","AI220",58250,5.825,"31",1
"3672",3672,31830,"PLAISANCE DU TOUCH","AN276",502400,50.24,"31",4
"3673",3673,31830,"PLAISANCE DU TOUCH","AN642",160000,16,"31",1
"3674",3674,31830,"PLAISANCE DU TOUCH","AP283",280000,28,"31",1
"3675",3675,31830,"PLAISANCE DU TOUCH","AP285",280000,28,"31",1
"3676",3676,31830,"PLAISANCE DU TOUCH","AP483",290000,29,"31",1
"3677",3677,31830,"PLAISANCE DU TOUCH","AP494",290000,29,"31",1
"3678",3678,31830,"PLAISANCE DU TOUCH","AP496",420000,42,"31",1
"3679",3679,31830,"PLAISANCE DU TOUCH","AP498",299000,29.9,"31",1
"3680",3680,31830,"PLAISANCE DU TOUCH","AP500",464000,46.4,"31",1
"3681",3681,31830,"PLAISANCE DU TOUCH","AP501",450000,45,"31",1
"3682",3682,31830,"PLAISANCE DU TOUCH","AP503",472500,47.25,"31",1
"3683",3683,31830,"PLAISANCE DU TOUCH","AP510",415500,41.55,"31",2
"3684",3684,31830,"PLAISANCE DU TOUCH","AR170",340550,34.055,"31",1
"3685",3685,31830,"PLAISANCE DU TOUCH","AR437",135000,13.5,"31",1
"3686",3686,31830,"PLAISANCE DU TOUCH","AR451",153000,15.3,"31",1
"3687",3687,31830,"PLAISANCE DU TOUCH","AS302",1,1e-04,"31",1
"3688",3688,31830,"PLAISANCE DU TOUCH","AS376",1,1e-04,"31",1
"3689",3689,31830,"PLAISANCE DU TOUCH","AS378",1,1e-04,"31",1
"3690",3690,31830,"PLAISANCE DU TOUCH","AS382",1,1e-04,"31",1
"3691",3691,31830,"PLAISANCE DU TOUCH","AS383",1,1e-04,"31",1
"3692",3692,31830,"PLAISANCE DU TOUCH","AS384",1,1e-04,"31",1
"3693",3693,31830,"PLAISANCE DU TOUCH","AS385",1,1e-04,"31",1
"3694",3694,31830,"PLAISANCE DU TOUCH","AS386",1,1e-04,"31",1
"3695",3695,31830,"PLAISANCE DU TOUCH","AS387",1,1e-04,"31",1
"3696",3696,31830,"PLAISANCE DU TOUCH","AS388",1,1e-04,"31",1
"3697",3697,31830,"PLAISANCE DU TOUCH","AS395",303700,30.37,"31",2
"3698",3698,31830,"PLAISANCE DU TOUCH","AS400",303700,30.37,"31",1
"3699",3699,31830,"PLAISANCE DU TOUCH","AV1148",435300,43.53,"31",1
"3700",3700,31830,"PLAISANCE DU TOUCH","AV219",246210,24.621,"31",2
"3701",3701,31830,"PLAISANCE DU TOUCH","AV27",250000,25,"31",1
"3702",3702,31830,"PLAISANCE DU TOUCH","AV303",435300,43.53,"31",1
"3703",3703,31830,"PLAISANCE DU TOUCH","AV305",435300,43.53,"31",3
"3704",3704,31830,"PLAISANCE DU TOUCH","AW14",278300,27.83,"31",1
"3705",3705,31830,"PLAISANCE DU TOUCH","AW54",277339,27.7339,"31",1
"3706",3706,31830,"PLAISANCE DU TOUCH","AZ60",109300,10.93,"31",1
"3707",3707,31830,"PLAISANCE DU TOUCH","BA260",203600,20.36,"31",1
"3708",3708,31830,"PLAISANCE DU TOUCH","BA293",281050,28.105,"31",1
"3709",3709,31830,"PLAISANCE DU TOUCH","BA296",287450,28.745,"31",1
"3710",3710,31830,"PLAISANCE DU TOUCH","BA338",213000,21.3,"31",1
"3711",3711,31830,"PLAISANCE DU TOUCH","BA508",35426,3.5426,"31",1
"3712",3712,31830,"PLAISANCE DU TOUCH","BA518",150000,15,"31",1
"3713",3713,31830,"PLAISANCE DU TOUCH","BD29",101000,10.1,"31",4
"3714",3714,31830,"PLAISANCE DU TOUCH","BI149",85000,8.5,"31",1
"3715",3715,31830,"PLAISANCE DU TOUCH","BK256",293600,29.36,"31",1
"3716",3716,31830,"PLAISANCE DU TOUCH","BK270",293600,29.36,"31",1
"3717",3717,31830,"PLAISANCE DU TOUCH","BK333",133333.33,13.333333,"31",1
"3718",3718,31830,"PLAISANCE DU TOUCH","BM590",109000,10.9,"31",2
"3719",3719,31830,"PLAISANCE DU TOUCH","BM614",523470,52.347,"31",3
"3720",3720,31830,"PLAISANCE DU TOUCH","BM676",17900,1.79,"31",2
"3721",3721,31830,"PLAISANCE DU TOUCH","BM71",242000,24.2,"31",1
"3722",3722,31830,"PLAISANCE DU TOUCH","BM758",382000,38.2,"31",2
"3723",3723,31830,"PLAISANCE DU TOUCH","BN151",9000,0.9,"31",1
"3724",3724,31830,"PLAISANCE DU TOUCH","BN152",9000,0.9,"31",1
"3725",3725,31830,"PLAISANCE DU TOUCH","BN153",9000,0.9,"31",1
"3726",3726,31830,"PLAISANCE DU TOUCH","BN155",9000,0.9,"31",1
"3727",3727,31830,"PLAISANCE DU TOUCH","BN339",9000,0.9,"31",1
"3728",3728,31830,"PLAISANCE DU TOUCH","BN340",9000,0.9,"31",1
"3729",3729,31830,"PLAISANCE DU TOUCH","BN342",9000,0.9,"31",1
"3730",3730,31830,"PLAISANCE DU TOUCH","BO214",163000,16.3,"31",1
"3731",3731,31830,"PLAISANCE DU TOUCH","BO4",214000,21.4,"31",1
"3732",3732,31830,"PLAISANCE DU TOUCH","BO95",122000,12.2,"31",2
"3733",3733,31830,"PLAISANCE DU TOUCH","BP1",77000,7.7,"31",1
"3734",3734,31830,"PLAISANCE DU TOUCH","BP286",127725,12.7725,"31",4
"3735",3735,31830,"PLAISANCE DU TOUCH","BP328",228737.25,22.873725,"31",8
"3736",3736,31830,"PLAISANCE DU TOUCH","BR161",315454,31.5454,"31",2
"3737",3737,31830,"PLAISANCE DU TOUCH","BR65",30000,3,"31",1
"3738",3738,31830,"PLAISANCE DU TOUCH","BS250",190000,19,"31",1
"3739",3739,31830,"PLAISANCE DU TOUCH","BS342",250000,25,"31",2
"3740",3740,31830,"PLAISANCE DU TOUCH","BS385",170000,17,"31",1
"3741",3741,31830,"PLAISANCE DU TOUCH","BS388",170000,17,"31",1
"3742",3742,31830,"PLAISANCE DU TOUCH","BS391",198675,19.8675,"31",4
"3743",3743,31830,"PLAISANCE DU TOUCH","BS395",170000,17,"31",1
"3744",3744,31830,"PLAISANCE DU TOUCH","BS402",444500,44.45,"31",1
"3745",3745,31830,"PLAISANCE DU TOUCH","BT272",352229,35.2229,"31",1
