,"insee","nom","codeDepartement","siren","codeEpci","codeRegion","population"
"1","12145","Millau","12","211201454","241200567","76",21859
"2","13028","La Ciotat","13","211300280","200054807","93",37599
"3","13056","Martigues","13","211300561","200054807","93",48818
"4","17136","Croix-Chapeau","17","211701362","241700434","75",1377
"5","17300","La Rochelle","17","211703004","241700434","75",79961
"6","19062","Corrèze","19","211906201","241927201","75",1173
"7","29232","Quimper","29","212902324","200068120","53",64530
"8","2A004","Ajaccio","2A","212000046","242010056","94",75343
"9","2B033","Bastia","2B","212000335","242000354","94",47459
"10","56260","Vannes","56","215602608","200067932","53",54955
"11","59350","Lille","59","215903501","200093201","32",238695
"12","59599","Tourcoing","59","215905993","200093201","32",99160
"13","61214","L'Aigle","61","216102145","200068468","28",7771
"14","64445","Pau","64","216404459","200067254","75",78620
"15","65100","Bordères-sur-l'Échez","65","216501007","200069300","76",5394
"16","65286","Lourdes","65","216502864","200069300","76",13266
"17","66136","Perpignan","66","216601369","200027183","76",120996
"18","75056","Paris","75","217500016","200054781","11",2113705
"19","75112","Paris","75","217500016","200054781","11",2113705
"20","75115","Paris","75","217500016","200054781","11",2113705
"21","75116","Paris","75","217500016","200054781","11",2113705
"22","75117","Paris","75","217500016","200054781","11",2113705
"23","75118","Paris","75","217500016","200054781","11",2113705
"24","75119","Paris","75","217500016","200054781","11",2113705
"25","75120","Paris","75","217500016","200054781","11",2113705
"26","77083","Champs-sur-Marne","77","217700830","200057958","11",26661
"27","77186","Fontainebleau","77","217701861","200072346","11",15787
"28","77249","Lésigny","77","217702497","200023125","11",7015
"29","77288","Melun","77","217702885","247700057","11",43685
"30","78551","Saint-Germain-en-Laye","78","200086924","200058519","11",45286
"31","78621","Trappes","78","217806215","200058782","11",34276
"32","86066","Châtellerault","86","218600666","248600413","75",31105
"33","91223","Étampes","91","219102233","200017846","11",26601
"34","92002","Antony","92","219200029","200054781","11",64026
"35","92024","Clichy","92","219200243","200054781","11",65102
"36","92036","Gennevilliers","92","219200367","200054781","11",50874
"37","92044","Levallois-Perret","92","219200441","200054781","11",68412
"38","92048","Meudon","92","219200482","200054781","11",46722
"39","92063","Rueil-Malmaison","92","219200631","200054781","11",80842
"40","93010","Bondy","93","219300100","200054781","11",51066
"41","93014","Clichy-sous-Bois","93","219300142","200054781","11",29551
"42","93030","Dugny","93","219300308","200054781","11",11723
"43","93046","Livry-Gargan","93","219300464","200054781","11",46507
"44","93051","Noisy-le-Grand","93","219300514","200054781","11",71632
"45","93066","Saint-Denis","93","219300662","200054781","11",115237
"46","94016","Cachan","94","219400165","200054781","11",30526
"47","94041","Ivry-sur-Seine","94","219400413","200054781","11",64526
"48","94067","Saint-Mandé","94","219400678","200054781","11",21223
"49","94079","Villiers-sur-Marne","94","219400793","200054781","11",32547
"50","94080","Vincennes","94","219400801","200054781","11",48368
"51","95394","Méry-sur-Oise","95","219503943","249500455","11",10015
"52","95585","Sarcelles","95","219505856","200055655","11",58576
"53","97209","Fort-de-France","972","219722097","249720061","02",75165
